NAMELSAD,STUSPS,category_x,event_index,category_y
Saratoga County,NY,LIMITED,1.0,LIMITED
Clatsop County,OR,MINOR,2.0,MINOR
Lewis County,WA,MODERATE,3.0,MODERATE
Chouteau County,MT,LIMITED,1.0,LIMITED
Brown County,NE,MINOR,2.0,MINOR
Pocahontas County,IA,LIMITED,1.0,LIMITED
Gem County,ID,MINOR,2.0,MINOR
Meagher County,MT,MODERATE,3.0,MODERATE
La Plata County,CO,MINOR,2.0,MINOR
Klamath County,OR,MINOR,2.0,MINOR
Rosebud County,MT,MODERATE,3.0,MODERATE
Schoolcraft County,MI,LIMITED,1.0,LIMITED
Ulster County,NY,LIMITED,1.0,LIMITED
Morrow County,OR,LIMITED,1.0,LIMITED
Todd County,MN,LIMITED,1.0,LIMITED
San Juan County,CO,MODERATE,3.0,MODERATE
Franklin County,ID,MODERATE,3.0,MODERATE
Madison County,ID,MODERATE,3.0,MODERATE
Sagadahoc County,ME,LIMITED,1.0,LIMITED
Sweet Grass County,MT,MODERATE,3.0,MODERATE
Ellis County,KS,LIMITED,1.0,LIMITED
Clark County,ID,MODERATE,3.0,MODERATE
Kossuth County,IA,LIMITED,1.0,LIMITED
Burke County,ND,LIMITED,1.0,LIMITED
Keya Paha County,NE,MINOR,2.0,MINOR
Lewis and Clark County,MT,MODERATE,3.0,MODERATE
Duchesne County,UT,MINOR,2.0,MINOR
Deuel County,SD,MINOR,2.0,MINOR
Jackson County,OR,MINOR,2.0,MINOR
Banner County,NE,MINOR,2.0,MINOR
Nobles County,MN,MINOR,2.0,MINOR
Aitkin County,MN,LIMITED,1.0,LIMITED
Ramsey County,ND,MINOR,2.0,MINOR
Jerome County,ID,MINOR,2.0,MINOR
Custer County,ID,MODERATE,3.0,MODERATE
Multnomah County,OR,MINOR,2.0,MINOR
Hubbard County,MN,LIMITED,1.0,LIMITED
Sargent County,ND,MODERATE,3.0,MODERATE
St. Lawrence County,NY,LIMITED,1.0,LIMITED
Palo Alto County,IA,LIMITED,1.0,LIMITED
Greeley County,NE,MINOR,2.0,MINOR
Jackson County,MN,MINOR,2.0,MINOR
Baker County,OR,MINOR,2.0,MINOR
Schuyler County,NY,LIMITED,1.0,LIMITED
Clark County,SD,MINOR,2.0,MINOR
Dundy County,NE,LIMITED,1.0,LIMITED
Pitkin County,CO,MODERATE,3.0,MODERATE
Grand Forks County,ND,MODERATE,3.0,MODERATE
Grafton County,NH,LIMITED,1.0,LIMITED
Pope County,MN,MINOR,2.0,MINOR
Park County,CO,MINOR,2.0,MINOR
Orange County,VT,LIMITED,1.0,LIMITED
Alamosa County,CO,MODERATE,3.0,MODERATE
Miner County,SD,MINOR,2.0,MINOR
Jerauld County,SD,MINOR,2.0,MINOR
Essex County,NY,LIMITED,1.0,LIMITED
Mercer County,ND,MINOR,2.0,MINOR
Pondera County,MT,MINOR,2.0,MINOR
Mineral County,NV,LIMITED,1.0,LIMITED
Scotts Bluff County,NE,MINOR,2.0,MINOR
Dickey County,ND,MODERATE,3.0,MODERATE
Barnes County,ND,MODERATE,3.0,MODERATE
Sibley County,MN,MINOR,2.0,MINOR
Chippewa County,MI,LIMITED,1.0,LIMITED
Bonneville County,ID,MODERATE,3.0,MODERATE
Garfield County,MT,LIMITED,1.0,LIMITED
Union County,NJ,LIMITED,1.0,LIMITED
McCook County,SD,MINOR,2.0,MINOR
Moffat County,CO,MODERATE,3.0,MODERATE
Burleigh County,ND,MODERATE,3.0,MODERATE
Kandiyohi County,MN,MINOR,2.0,MINOR
Lawrence County,SD,MODERATE,3.0,MODERATE
Washington County,ME,LIMITED,1.0,LIMITED
Benton County,OR,LIMITED,1.0,LIMITED
Rock County,MN,MINOR,2.0,MINOR
Ziebach County,SD,MINOR,2.0,MINOR
Jefferson County,CO,MINOR,2.0,MINOR
Summit County,CO,MODERATE,3.0,MODERATE
Hamilton County,NY,LIMITED,1.0,LIMITED
Big Horn County,WY,MINOR,2.0,MINOR
Ward County,ND,LIMITED,1.0,LIMITED
Worcester County,MA,LIMITED,1.0,LIMITED
Dutchess County,NY,LIMITED,1.0,LIMITED
Bottineau County,ND,MINOR,2.0,MINOR
Hot Springs County,WY,MINOR,2.0,MINOR
Otsego County,NY,LIMITED,1.0,LIMITED
Waseca County,MN,MINOR,2.0,MINOR
Brule County,SD,MINOR,2.0,MINOR
Idaho County,ID,MAJOR,4.0,MAJOR
Davis County,UT,MODERATE,3.0,MODERATE
Cottonwood County,MN,MODERATE,3.0,MODERATE
Teton County,ID,MODERATE,3.0,MODERATE
Power County,ID,MODERATE,3.0,MODERATE
Washakie County,WY,MINOR,2.0,MINOR
Tompkins County,NY,LIMITED,1.0,LIMITED
Albany County,NY,LIMITED,1.0,LIMITED
Rush County,KS,LIMITED,1.0,LIMITED
Koochiching County,MN,MINOR,2.0,MINOR
Boulder County,CO,MINOR,2.0,MINOR
Watonwan County,MN,MINOR,2.0,MINOR
Blaine County,ID,MODERATE,3.0,MODERATE
Sully County,SD,MINOR,2.0,MINOR
Denver County,CO,MINOR,2.0,MINOR
Carter County,MT,MINOR,2.0,MINOR
Kimball County,NE,MINOR,2.0,MINOR
Montrose County,CO,MODERATE,3.0,MODERATE
Wright County,MN,MINOR,2.0,MINOR
Eagle County,CO,MODERATE,3.0,MODERATE
San Miguel County,CO,MODERATE,3.0,MODERATE
Clay County,MN,MODERATE,3.0,MODERATE
Box Elder County,UT,MODERATE,3.0,MODERATE
Elmore County,ID,MINOR,2.0,MINOR
Benson County,ND,MINOR,2.0,MINOR
Costilla County,CO,MODERATE,3.0,MODERATE
Marion County,OR,MAJOR,4.0,MAJOR
Scott County,MN,LIMITED,1.0,LIMITED
Broomfield County,CO,MINOR,2.0,MINOR
Antrim County,MI,LIMITED,1.0,LIMITED
Benewah County,ID,MINOR,2.0,MINOR
Lassen County,CA,MINOR,2.0,MINOR
Chaffee County,CO,MODERATE,3.0,MODERATE
Fremont County,CO,LIMITED,1.0,LIMITED
Custer County,NE,MINOR,2.0,MINOR
Stark County,ND,MINOR,2.0,MINOR
Luce County,MI,LIMITED,1.0,LIMITED
Taos County,NM,MINOR,2.0,MINOR
Nye County,NV,LIMITED,1.0,LIMITED
Bowman County,ND,MINOR,2.0,MINOR
Nez Perce County,ID,MINOR,2.0,MINOR
Walworth County,SD,MINOR,2.0,MINOR
Cayuga County,NY,LIMITED,1.0,LIMITED
Sullivan County,NH,LIMITED,1.0,LIMITED
Greene County,NY,LIMITED,1.0,LIMITED
Kingsbury County,SD,MINOR,2.0,MINOR
Converse County,WY,MINOR,2.0,MINOR
Herkimer County,NY,LIMITED,1.0,LIMITED
